LAD20CD,LAD20NM,WOODLAND_AREA,AREALHECT,WOODLAND_COVER,Percentage of area
E07000163,Craven,5642.019027,117738.81,0.04791979,4.79197898
E07000164,Hambleton,9635.835131,131122.82,0.073487095,7.348709501
E07000165,Harrogate,9535.598304,130794.74,0.07290506,7.290505952
E07000166,Richmondshire,7014.794278,131870.74,0.053194471,5.319447117
E07000167,Ryedale,22717.32795,150659.37,0.150786028,15.07860278
E07000168,Scarborough,11711.74287,81618.83,0.143493148,14.34931482
E07000169,Selby,3667.027028,59931.08,0.061187401,6.118740107
E07000170,Ashfield,1622.393036,10955.81,0.148085175,14.80851746
E07000171,Bassetlaw,6714.646838,63780.33,0.105277706,10.52777061
E07000172,Broxtowe,603.185336,8009.89,0.075305071,7.530507111
E07000173,Gedling,1757.429136,11998.17,0.146474765,14.64747654
E07000174,Mansfield,1032.813181,7669.71,0.134661308,13.46613081
E07000175,Newark and Sherwood,7202.21084,65134.06,0.110575187,11.05751866
E07000176,Rushcliffe,2014.839939,40923.17,0.049234699,4.923469856
E07000177,Cherwell,3211.490957,58874.12,0.054548432,5.454843243
E07000178,Oxford,260.9244013,4560.27,0.057216876,5.721687559
E07000179,South Oxfordshire,9392.129975,67852.13,0.138420562,13.84205621
E07000180,Vale of White Horse,4722.207311,57764.44,0.081749383,8.174938269
E07000181,West Oxfordshire,6622.383169,71442.2,0.092695678,9.269567803
E07000187,Mendip,5575.6784,73943.56,0.075404517,7.540451663
E07000188,Sedgemoor,3176.821344,56422.38,0.056304278,5.630427755
E07000189,South Somerset,5416.175767,95904.01,0.056474967,5.647496665
E07000192,Cannock Chase,2572.228791,7888.25,0.326083579,32.60835789
E07000193,East Staffordshire,3219.425443,38695.95,0.083197995,8.31979947
E07000194,Lichfield,2033.842697,33129.44,0.061390796,6.139079612
E07000195,Newcastle-under-Lyme,2352.611248,21095.74,0.111520679,11.1520679
E07000196,South Staffordshire,4444.253436,40732.23,0.109109014,10.91090136
E07000197,Stafford,5415.472318,59817.21,0.090533683,9.053368284
E07000198,Staffordshire Moorlands,4847.987863,57584.98,0.084188409,8.418840925
E07000199,Tamworth,102.5615464,3085.07,0.03324448,3.324447951
E07000200,Babergh,4509.275182,59372.39,0.075949026,7.594902584
E07000202,Ipswich,172.5769066,3950.98,0.043679519,4.367951916
E07000203,Mid Suffolk,3762.809884,87107.06,0.043197531,4.319753053
E07000207,Elmbridge,1706.133253,9505.23,0.179494158,17.94941578
E07000208,Epsom and Ewell,461.8467137,3407.94,0.135520788,13.55207878
E07000209,Guildford,7881.20967,27093.11,0.290893503,29.08935028
E07000210,Mole Valley,7495.084701,25832.11,0.290146051,29.01460508
E07000211,Reigate and Banstead,2229.193767,12914.39,0.172613168,17.26131677
E07000212,Runnymede,1816.285106,7804.07,0.232735625,23.27356247
E07000213,Spelthorne,162.2493046,4488.79,0.036145443,3.614544333
E07000214,Surrey Heath,2982.33501,9509.3,0.313622981,31.36229807
E07000215,Tandridge,4418.843722,24819.47,0.178039407,17.8039407
E07000216,Waverley,11684.27022,34517.03,0.338507404,33.85074039
